"","ID.Number","Rank_gift","predicted_gift_amount"
"297",236214,297,4860.17819005145
"298",305677,298,4859.21929943777
"299",667887,299,4858.83590344169
"300",733956,300,4856.78572170296
"301",24335,301,4852.1699980334
"302",439838,302,4851.05741338099
"303",247423,303,4846.03072319902
"304",531439,304,4845.84151595972
"305",397059,305,4842.26038479946
"306",310646,306,4841.70380690456
"307",738310,307,4841.44582862318
"308",329776,308,4840.65003360104
"309",2190565,309,4837.57837957182
"310",120569,310,4837.42651254079
"311",230205,311,4837.15440382026
"312",531309,312,4835.89270851561
"313",476366,313,4831.92713927923
"314",658970,314,4831.41249308031
"315",362167,315,4829.31877142857
"316",228155,316,4825.61774405239
"317",478122,317,4823.69070439012
"318",662753,318,4820.41054089638
"319",43899,319,4818.16325003669
"320",172850,320,4816.41280080132
"321",766807,321,4811.96870390876
"322",890695,322,4807.87356441103
"323",305744,323,4800.77048898152
"324",522836,324,4800.01450947824
"325",271340,325,4799.44470481077
"326",461768,326,4796.81816368871
"327",703418,327,4789.47853671329
"328",2822,328,4778.3355678117
"329",690276,329,4777.92320601504
"330",380299,330,4777.66905333209
"331",329208,331,4776.99127092715
"332",604258,332,4776.49047698273
"333",352178,333,4776.273521895
"334",239437,334,4774.84964228218
"335",522504,335,4770.12152939166
"336",520175,336,4768.24547936508
"337",434185,337,4760.96818677603
"338",211312,338,4759.11967204397
"339",810898,339,4754.83391325473
"340",20118,340,4751.95601045621
"341",923263,341,4746.8765488678
"342",551835,342,4746.32151814302
"343",124103,343,4735.1139957303
"344",505621,344,4732.64313718387
"345",195063,345,4729.50564075158
"346",87337,346,4728.87803134557
"347",557450,347,4728.84211452632
"348",547575,348,4719.03313922924
"349",147938,349,4707.34798473749
"350",52372,350,4706.60040952381
"351",47166,351,4704.50463909808
"352",178032,352,4703.96309106917
"353",15779,353,4699.06865070538
"354",126505,354,4692.41312262121
"355",250888,355,4689.20668007708
"356",736813,356,4685.30403724581
"357",811528,357,4679.65770568283
"358",459766,358,4671.63267125666
"359",114485,359,4671.04986282403
"360",34266,360,4664.53794947659
"361",309146,361,4654.78010939127
"362",94794,362,4649.84579595959
"363",778746,363,4648.56619743254
"364",379609,364,4648.43732762711
"365",721038,365,4645.13302694805
"366",577864,366,4643.34192503053
"367",578730,367,4630.29506666667
"368",165462,368,4622.61393725164
"369",201362,369,4622.29008668473
"370",935918,370,4620.23046483516
"371",519601,371,4616.6924843254
"372",632593,372,4605.64905238095
"373",393618,373,4604.07290176767
"374",639883,374,4602.31697294372
"375",470030,375,4599.94906901666
"376",483450,376,4590.05017086498
"377",8815,377,4588.01639480589
"378",367785,378,4587.96516034174
"379",497929,379,4586.80781774892
"380",350584,380,4582.66453482648
"381",312732,381,4582.44695569092
"382",459284,382,4581.71423063946
"383",475243,383,4572.69850557678
"384",423899,384,4572.65436190833
"385",579529,385,4566.53647739594
"386",112535,386,4560.56476539401
"387",17983,387,4556.87741511962
"388",683185,388,4555.55294276957
"389",570267,389,4554.68184852893
"390",498597,390,4554.58908571428
"391",174312,391,4546.17500126281
"392",291372,392,4542.64976807948
"393",933907,393,4532.07716403509
"394",252422,394,4531.53148225108
"395",934280,395,4525.96706843434
"396",470520,396,4519.97495248833
"397",774315,397,4518.78114040404
"398",457020,398,4485.2678882758
"399",244450,399,4475.37346131505
"400",242516,400,4475.3505353287
"401",203963,401,4475.29882756488
"402",746658,402,4473.97217984238
"403",497735,403,4463.96693111922
"404",560386,404,4463.53147452515
"405",185506,405,4456.12172118437
"406",446452,406,4451.58924443311
"407",350228,407,4448.03534549515
"408",2157749,408,4445.17142301587
"409",228448,409,4441.99884825887
"410",735522,410,4419.77028730159
"411",74276,411,4417.30007505381
"412",45198,412,4407.43841002908
"413",775342,413,4400.81481243844
"414",193722,414,4397.52712565918
"415",6014271,415,4394.81664523809
"416",173463,416,4393.54406872294
"417",773705,417,4382.53538025974
"418",450158,418,4378.074488531
"419",225787,419,4377.25395764284
"420",279254,420,4371.65744264069
"421",290522,421,4362.0062770183
"422",734941,422,4359.78079692268
"423",611250,423,4357.33222862634
"424",2158336,424,4356.3552734127
"425",10898,425,4352.09693741325
"426",36151,426,4345.9900301896
"427",633138,427,4341.36736580086
"428",549201,428,4338.73601518122
"429",98036,429,4336.68359391157
"430",165748,430,4313.9583969717
"431",578588,431,4305.75050987853
"432",378126,432,4291.41346845651
"433",783817,433,4290.4582926407
"434",517286,434,4280.79529787908
"435",199645,435,4278.78487409224
"436",254919,436,4277.7342429604
"437",395257,437,4263.99316883117
"438",308916,438,4263.03677570948
"439",331849,439,4262.28066085581
"440",910899,440,4260.7504251437
"441",96400,441,4248.60058035445
"442",930500,442,4248.10834354839
"443",422553,443,4235.28362534735
"444",120934,444,4226.90069793233
"445",213066,445,4208.23351670844
"446",656419,446,4205.78704701867
"447",554501,447,4204.20123581201
"448",57324,448,4197.7971547619
"449",721146,449,4196.77776878788
"450",507330,450,4182.5014504157
"451",178757,451,4181.67430230384
"452",474070,452,4171.20882186702
"453",2101060,453,4143.02049072682
"454",87485,454,4131.21244283905
"455",2205117,455,4127.1382035409
"456",258178,456,4125.76720357143
"457",108390,457,4124.82151049991
"458",309140,458,4120.61901372595
"459",2172960,459,4117.7105836471
"460",497594,460,4117.20205627706
"461",134012,461,4115.63876580009
"462",48424,462,4110.86480026274
"463",607178,463,4108.79327763348
"464",151314,464,4106.70274319721
"465",2133200,465,4103.64016438923
"466",408356,466,4098.24872302339
"467",80593,467,4074.00008246753
"468",254195,468,4066.92597698746
"469",726067,469,4064.52609721908
"470",209614,470,4059.57552671495
"471",98828,471,4056.42048434343
"472",522198,472,4053.41919460521
"473",4340,473,4047.49134026
"474",549722,474,4040.19951678901
"475",773804,475,4025.56477994228
"476",90675,476,4021.8736264084
"477",663501,477,4013.08731428571
"478",496002,478,4001.91008744589
"479",177351,479,3992.35325916306
"480",23287,480,3987.26443818861
"481",92673,481,3982.97117600813
"482",118709,482,3979.45785400433
"483",333673,483,3978.79859172932
"484",59089,484,3971.19086544012
"485",209681,485,3941.56407365815
"486",58967,486,3928.53933809524
"487",508186,487,3919.85206269841
"488",394903,488,3916.95418125578
"489",292943,489,3916.11202367307
"490",708668,490,3904.39250268408
"491",179635,491,3889.07931888949
"492",188379,492,3885.45565674603
"493",2161113,493,3870.75247374847
"494",36721,494,3860.56035156091
"495",283816,495,3851.54541103896
"496",411062,496,3840.80320346942
"497",220962,497,3822.91464256217
"498",411590,498,3819.96487855053
"499",776649,499,3818.15889652727
"500",2196662,500,3803.35163015873
"501",420648,501,3801.96853703359
"502",233114,502,3797.84872164607
"503",297705,503,3784.76697008743
"504",497876,504,3783.4291974026
"505",473299,505,3779.49373188946
"506",350267,506,3766.50356941392
"507",211533,507,3764.18606190476
"508",349686,508,3762.49408974748
"509",172812,509,3758.32858263305
"510",344577,510,3757.78733279221
"511",28730,511,3757.18310793651
"512",33890,512,3754.19492307692
"513",38721,513,3743.50568380916
"514",607273,514,3741.53258878937
"515",266280,515,3728.71701422729
"516",252033,516,3719.63066265401
"517",333152,517,3699.30157283011
"518",256020,518,3698.10372659899
"519",218072,519,3695.94496275333
"520",521780,520,3671.77810196591
"521",353677,521,3670.07029047619
"522",413,522,3631.05013603837
"523",39568,523,3626.72941804581
"524",491519,524,3621.13247698413
"525",367292,525,3613.71322532895
"526",496248,526,3606.85232189737
"527",319406,527,3602.77359334653
"528",355823,528,3595.51391578144
"529",413153,529,3593.00627977773
"530",498808,530,3592.25676075036
"531",2197186,531,3587.6583189481
"532",247728,532,3573.11948323015
"533",659441,533,3569.6552721522
"534",808105,534,3566.17513575472
"535",302788,535,3560.05205634921
"536",456432,536,3551.58841787911
"537",2205123,537,3537.85698088972
"538",235028,538,3525.38571443002
"539",94504,539,3524.64941298531
"540",758665,540,3521.37655528723
"541",119569,541,3520.76215759789
"542",263504,542,3518.74874293338
"543",480567,543,3514.59012038572
"544",152215,544,3497.08613358736
"545",449177,545,3476.85982019509
"546",730787,546,3474.50413735929
"547",225496,547,3473.5477512494
"548",185810,548,3471.95046266248
"549",94828,549,3461.97016312625
"550",136745,550,3456.6080729092
"551",417672,551,3453.72785094226
"552",204240,552,3449.95581792799
"553",690681,553,3444.2702497621
"554",201176,554,3443.92175569114
"555",747392,555,3443.67657549812
"556",42279,556,3429.05604201679
"557",760491,557,3423.91000001273
"558",516858,558,3412.01801060606
"559",116744,559,3405.99955324893
"560",98170,560,3388.48014336045
"561",242952,561,3380.59773824199
"562",834169,562,3371.62151281976
"563",327787,563,3347.55958868275
"564",147028,564,3341.07630543672
"565",121010,565,3339.13785701614
"566",71754,566,3336.58696100092
"567",442933,567,3324.94410442882
"568",475629,568,3319.89774403298
"569",365594,569,3319.13792655123
"570",2287,570,3314.53259173545
"571",7448,571,3314.50008869547
"572",640028,572,3313.27453333333
"573",136303,573,3312.8034624039
"574",84983,574,3306.38487796613
"575",131486,575,3295.17849896898
"576",263447,576,3291.42606007374
"577",232113,577,3284.66495509607
"578",214204,578,3276.18429155174
"579",605309,579,3271.3357698662
"580",362844,580,3269.77017726163
"581",102651,581,3262.78103333333
"582",6047068,582,3260.72866501938
"583",134544,583,3246.70457820877
"584",746684,584,3243.27439914234
"585",454279,585,3235.59797982352
"586",380099,586,3231.3275716028
"587",50010,587,3227.25889813735
"588",120869,588,3219.72787361191
"589",138156,589,3219.70611429554
"590",281654,590,3218.73669044567
"591",2132497,591,3203.0661867646
"592",496677,592,3199.52983053042
"593",40537,593,3193.87275213073
"594",356838,594,3191.68926865079
"595",16721,595,3181.61922670508
"596",662795,596,3178.9892490787
"597",176588,597,3177.653700529
"598",499232,598,3169.73622574109
"599",394651,599,3169.63072040692
"600",22321,600,3169.54064616286
"601",166668,601,3158.61514661351
"602",481537,602,3156.8910389879
"603",281598,603,3156.45585399046
"604",128492,604,3156.06313336663
"605",606251,605,3155.75041908654
"606",551686,606,3143.64088543644
"607",25033,607,3143.64018027817
"608",92733,608,3136.94899073779
"609",359006,609,3135.32021879875
"610",186751,610,3132.35387649539
"611",746993,611,3128.14030306477
"612",520347,612,3124.0782263738
"613",550293,613,3123.32222080469
"614",669749,614,3117.29920515276
"615",244380,615,3112.74318526528
"616",191371,616,3106.83389947985
"617",471535,617,3096.11733132162
"618",100611,618,3095.03596053502
"619",219540,619,3088.30564936531
"620",63147,620,3085.51773882091
"621",58006,621,3081.21172332293
"622",22174,622,3080.5165928847
"623",98810,623,3077.31234996941
"624",211710,624,3073.43775348332
"625",499030,625,3073.41618987796
"626",661604,626,3072.76526387741
"627",413066,627,3072.71752153668
"628",270543,628,3071.67876211813
"629",605888,629,3064.29561460235
"630",395497,630,3062.40945719436
"631",2078500,631,3062.01168987162
"632",344493,632,3055.39214950459
"633",48581,633,3053.29291763828
"634",561868,634,3052.2305454325
"635",190189,635,3047.37869214196
"636",751265,636,3046.72968253968
"637",190633,637,3041.86808053192
"638",247425,638,3009.88152357446
"639",476526,639,3004.35690248744
"640",524087,640,3000.72916002037
"641",53993,641,2998.68306917353
"642",552881,642,2997.3599662914
"643",266994,643,2996.4185068897
"644",335979,644,2995.70269615801
"645",355186,645,2995.60161795552
"646",2065521,646,2976.10906269651
"647",396246,647,2974.65133638158
"648",386292,648,2973.17462546287
"649",242410,649,2963.47911814578
"650",550936,650,2961.69617125276
"651",120782,651,2959.11056228133
"652",343304,652,2955.43407736056
"653",7200,653,2954.46587875458
"654",187956,654,2952.77845948194
"655",170893,655,2933.37744983301
"656",142296,656,2932.08248412698
"657",434771,657,2928.01274832233
"658",285326,658,2926.46142430828
"659",418324,659,2922.19863474871
"660",442869,660,2921.91514303632
"661",84832,661,2917.80552961838
"662",556904,662,2917.19235295399
"663",735691,663,2916.61873257021
"664",370489,664,2904.71685845384
"665",475820,665,2902.61175477856
"666",53463,666,2900.30993590557
"667",855201,667,2899.3676659178
"668",380240,668,2899.04309036208
"669",184925,669,2888.41255072282
"670",641830,670,2883.35043895172
"671",387582,671,2879.87460952381
"672",12187,672,2874.60114030784
"673",725806,673,2871.52990639075
"674",688045,674,2866.35801493895
"675",384421,675,2861.99979147519
"676",326271,676,2857.75455670389
"677",275571,677,2854.89202052452
"678",2145031,678,2849.69285602453
"679",238782,679,2846.62964733028
"680",606859,680,2834.08715185635
"681",117967,681,2830.9278254024
"682",467123,682,2829.66052933514
"683",72718,683,2829.63118293314
"684",380893,684,2828.58490157588
"685",2131884,685,2827.11975151515
"686",383238,686,2824.9958679834
"687",446529,687,2823.82747385877
"688",578369,688,2822.22321742758
"689",71002,689,2822.10493414989
"690",233818,690,2819.36821780018
"691",329939,691,2818.50275259955
"692",27805,692,2815.70613915966
"693",149577,693,2809.92733771278
"694",188285,694,2809.52880921257
"695",131535,695,2808.64798346157
"696",472058,696,2807.51804095861
"697",138298,697,2806.9921658714
"698",580967,698,2804.87808486952
"699",68647,699,2799.92718279663
"700",333345,700,2799.91399622986
"701",140596,701,2798.31022252172
"702",103779,702,2795.17534542231
"703",226531,703,2790.47615696559
"704",497747,704,2789.76257859773
"705",352094,705,2788.50442229108
"706",224630,706,2788.4760597067
"707",292150,707,2787.04573312916
"708",400566,708,2783.66643005916
"709",661821,709,2779.34927466422
"710",319796,710,2778.72938475151
"711",142858,711,2775.88430714737
"712",563241,712,2774.23878745154
"713",218304,713,2772.5443754847
"714",123073,714,2771.81247662338
"715",64535,715,2771.42484723021
"716",293616,716,2769.13349476263
"717",294589,717,2765.27218002871
"718",198623,718,2764.11485754246
"719",409950,719,2763.47086594346
"720",550184,720,2762.33899552226
"721",350338,721,2760.09438844865
"722",416413,722,2759.25548946404
"723",187039,723,2751.40981813419
"724",303535,724,2746.3564133395
"725",736110,725,2745.25632857143
"726",41898,726,2743.63396739537
"727",335137,727,2741.64314583113
"728",244706,728,2741.23064780008
"729",797961,729,2740.59215134637
"730",430278,730,2739.78031759025
"731",414595,731,2733.89095135227
"732",682317,732,2730.53173304216
"733",433681,733,2730.09797644006
"734",250899,734,2729.80753801623
"735",274868,735,2729.00200466444
"736",634083,736,2727.2313038268
"737",69555,737,2725.1755161299
"738",498731,738,2722.56627839767
"739",253004,739,2719.25581269005
"740",288252,740,2718.79115570252
"741",94749,741,2716.16524311545
"742",606057,742,2715.73896744106
"743",42889,743,2713.78056186423
"744",550245,744,2710.35879480508
"745",14630,745,2710.07924755131
"746",403449,746,2708.09794831185
"747",190305,747,2705.5543116426
"748",35585,748,2704.72916247005
"749",65332,749,2702.26836345601
"750",52338,750,2702.03074184033
"751",961920,751,2695.95714146825
"752",93333,752,2695.74555997746
"753",708098,753,2694.98247776257
"754",4972,754,2692.09780709966
"755",597546,755,2692.01420080957
"756",203431,756,2690.05723285721
"757",550341,757,2685.89084461094
"758",127803,758,2684.14015914937
"759",230517,759,2681.86419096129
"760",489554,760,2680.87204442031
"761",533108,761,2678.50587698413
"762",154524,762,2677.91511396364
"763",235208,763,2672.62503449499
"764",224709,764,2669.40581376056
"765",305175,765,2667.1298789199
"766",353065,766,2666.17274381855
"767",188799,767,2665.58535463872
"768",263559,768,2665.38283013444
"769",198162,769,2659.28097835498
"770",133953,770,2653.85489343843
"771",690694,771,2653.68515971022
"772",223667,772,2653.65121748615
"773",396134,773,2653.16908354133
"774",106544,774,2650.17331861977
"775",577249,775,2648.66972391077
"776",928379,776,2646.17428234194
"777",55819,777,2638.675370671
"778",47424,778,2637.56577372023
"779",323214,779,2636.29872183665
"780",267180,780,2636.07343305946
"781",578112,781,2630.47497432219
"782",522951,782,2629.77628287135
"783",265876,783,2627.89864471353
"784",60008,784,2626.01573816634
"785",82240,785,2625.62071803653
"786",393785,786,2624.49179136351
"787",66016,787,2623.21804227905
"788",2154670,788,2619.25777348478
"789",918230,789,2619.05037566916
"790",682544,790,2618.89629634729
"791",355984,791,2616.87579427905
"792",303516,792,2616.72373863049
"793",640755,793,2614.92036709589
"794",635354,794,2612.2792304098
"795",396558,795,2605.35732330697
"796",589263,796,2598.19965228144
"797",320326,797,2594.82657690181
"798",17609,798,2594.23344982534
"799",366975,799,2593.57241146682
"800",296528,800,2592.30233832481
"801",632585,801,2588.88498113432
"802",122183,802,2588.48545530026
"803",46186,803,2584.25031424335
"804",353585,804,2583.27236730787
"805",578888,805,2582.4372248372
"806",235276,806,2582.09558663086
"807",157197,807,2578.81356836219
"808",156102,808,2577.94896659358
"809",578640,809,2577.59102139837
"810",81745,810,2572.75682829865
"811",337844,811,2572.07268625859
"812",199357,812,2570.36186686081
"813",114131,813,2568.44827361406
"814",149795,814,2565.72699624679
"815",47556,815,2565.58226779354
"816",212468,816,2564.86549153083
"817",105712,817,2564.79189724565
"818",185443,818,2561.65787045393
"819",619876,819,2561.61080805721
"820",463434,820,2558.60613884751
"821",704873,821,2557.10033568659
"822",371072,822,2556.63685790594
"823",796058,823,2555.14118395493
"824",579456,824,2554.41516365597
"825",220821,825,2552.34960261155
"826",106121,826,2549.99156848323
"827",374674,827,2547.387799198
"828",200294,828,2546.99675084496
"829",155963,829,2546.27147982687
"830",209723,830,2543.15126894189
"831",102907,831,2541.03763249642
"832",435840,832,2539.89701420542
"833",808179,833,2538.49987561587
"834",521715,834,2537.22539485702
"835",12885,835,2534.24840733421
"836",289355,836,2531.90590792541
"837",306206,837,2530.39300773691
"838",168498,838,2529.68748599144
"839",102676,839,2528.73155045849
"840",167375,840,2527.58745822636
"841",134637,841,2523.42574900385
"842",264427,842,2521.33421679894
"843",245097,843,2515.941101889
"844",87670,844,2515.93724642076
"845",269241,845,2515.5463392994
"846",284211,846,2510.84487397728
"847",466486,847,2503.39229768717
"848",366384,848,2501.7410254747
"849",743339,849,2498.91075494561
"850",169550,850,2497.48932302506
"851",88365,851,2496.58438531673
"852",302861,852,2491.15300896589
"853",37345,853,2491.08038888889
"854",208922,854,2489.072386727
"855",409104,855,2485.64131844835
"856",435699,856,2482.11576321797
"857",460019,857,2481.88966761134
"858",454031,858,2479.51625525619
"859",405412,859,2479.34325810718
"860",344504,860,2475.15351858082
"861",661576,861,2474.60496112876
"862",424806,862,2473.34088947834
"863",725920,863,2471.13162890787
"864",437706,864,2470.72213788658
"865",424950,865,2469.32923410736
"866",365954,866,2467.14111817921
"867",343087,867,2464.27505512493
